,Name,Screen,Res,Price,GPU,CPU,RAM,Memory,OS,Wifi,Seller,PC_url,Img_url
570,Lenovo IdeaPad 1 15AMN7 (82VG00GRFR),"Écran 15.6"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",729.99,AMD Radeon 610M,AMD Ryzen 5 7520U(4 coeurs 4.30 GHz),16 Go LPDDR5 - 5500 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 5 • Bluetooth 5.0,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-1-15amn7-82vg00grfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34892/lenovo-ideapad-1-15-2022-cloud-grey-1.jpg
571,Lenovo Yoga Pro 9 16IRP8 (83BY002UFR),"Écran 16.0"" LCD - IPS 165 Hz","Résolution QHD+ 3200 x 2000 pixels
(16/10)",1299.0,Intel Iris Xe Graphics (96 EU) - Raptor Lake,Intel Core i7-13705H(14 coeurs 5.00 GHz),16 Go LPDDR5X - 6400 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.1,Lenovo,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-yoga-pro-9-16irp8-83by002ufr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34891/lenovo-yoga-pro-9-storm-grey-1.jpg
572,Lenovo LOQ 15IRH8 (82XV00GFFR),"Écran 15.6"" LCD - IPS (anti-reflets) 144 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",999.99,Nvidia GeForce RTX 4060 (Mobile)(8 Go)Version : 2370 MHz / 115 W,Intel Core i7-13620H(10 coeurs 4.90 GHz),16 Go DDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-loq-15irh8-82xv00gffr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34889/lenovo-loq-15-storm-grey-white-1.jpg
573,Lenovo IdeaPad 3 14ITL6 (82H701R5FR),"Écran 14.0"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",599.0,Intel Iris Xe Graphics (80 EU),Intel Core i5-1155G7(4 coeurs 4.50 GHz),8 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,Boulanger,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-3-14itl6-82h701r5fr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34888/lenovo-ideapad-3-14-arctic-grey-1.jpg
574,Lenovo IdeaPad 3 17ITL6 (82H9010BFR),"Écran 17.3"" LCD - TN (anti-reflets) 60 Hz","Résolution HD+ 1600 x 900 pixels
(16/9)",549.99,Intel UHD Graphics (48 EU) - Tiger Lake,Intel Core i3-1115G4(2 coeurs 4.10 GHz),8 Go DDR4 - 3200 MHz,256 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille (mode S),Wi-Fi 6 • Bluetooth 5.1,Fnac,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-3-17itl6-82h9010bfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34887/lenovo-ideapad-3-17-gris-arctique-1.jpg
575,Lenovo Yoga Slim 7 ProX 14ARH7 (82TL009AFR),"Écran 14.5"" LCD - IPS 120 Hz","Résolution QHD+ 3072 x 1920 pixels
(16/10)",1305.09,Nvidia GeForce RTX 3050 Max-Q(4 Go),AMD Ryzen 7 6800HS(8 coeurs 4.70 GHz),16 Go LPDDR5 - 6400 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.1,Amazon,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-yoga-slim-7-prox-14arh7-82tl009afr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34885/lenovo-yoga-slim-7-pro-x-onyx-grey-2022-1.jpg
576,Acer Swift Go SFG14-71-5827,"Écran 14.0"" OLED 90 Hz","Résolution QHD 2880 x 1800 pixels
(16/10)",949.05,Intel Iris Xe Graphics (80 EU) - Raptor Lake,Intel Core i5-1335U(10 coeurs 4.60 GHz),16 Go LPDDR5 - 4800 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Acer,https://www.comparez-malin.fr/informatique/pc-portable/acer-swift-go-sfg14-71-5827.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/34881/acer-swift-go-sfg14-71-silver-1.jpg
577,Acer Swift Go SFG14-71-70MC,"Écran 14.0"" OLED 90 Hz","Résolution QHD 2880 x 1800 pixels
(16/10)",1139.05,Intel Iris Xe Graphics (96 EU) - Raptor Lake,Intel Core i7-1355U(10 coeurs 5.00 GHz),16 Go LPDDR5 - 4800 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.2,Acer,https://www.comparez-malin.fr/informatique/pc-portable/acer-swift-go-sfg14-71-70mc.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/acer/2023/34880/acer-swift-go-sfg14-71-silver-1.jpg
578,HP Spectre x360 16-f2021nf,"Écran tactile 16.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution QHD+ 3072 x 1920 pixels
(16/10)",1899.99,Intel Iris Xe Graphics (96 EU) - Raptor Lake,Intel Core i7-13700H(14 coeurs 5.00 GHz),16 Go DDR4 - 3200 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.3,Fnac,https://www.comparez-malin.fr/informatique/pc-portable/hp-spectre-x360-16-f2021nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/34879/hp-spectre-x360-16-2022-noir-1.jpg
579,Lenovo IdeaPad Flex 5 14ABR8 (82XX007YFR),"Écran tactile 14.0"" LCD - IPS 60 Hz","Résolution Full HD 1920 x 1200 pixels
(16/10)",749.99,AMD Radeon Vega 7,AMD Ryzen 5 7530U(6 coeurs 4.50 GHz),8 Go LPDDR4X - 4266 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.1,Darty,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-flex-5-14abr8-82xx007yfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34878/lenovo-ideapad-flex-5-14-gen8-artic-grey-1.jpg
