,Name,Note,Price ($),URL
71,Intel Xeon Platinum 8375C @ 2.90GHz,55705,0.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8375C+%40+2.90GHz&id=4486
72,AMD EPYC 7443,55525,2230.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7443&id=4708
73,AMD EPYC 9174F,55485,4654.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9174F&id=5381
74,AMD Ryzen Threadripper 3960X,54939,1474.51,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3960X&id=3617
75,Intel Xeon Platinum 8358 @ 2.60GHz,54416,5097.75,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8358+%40+2.60GHz&id=4493
76,Intel Xeon w7-2475X,54246,1789.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w7-2475X&id=5577
77,Intel Xeon Platinum 8360Y @ 2.40GHz,54078,5383.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8360Y+%40+2.40GHz&id=5698
78,Intel Core i7-14700KF,53514,384.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700KF&id=5723
79,Intel Core i7-14700K,53208,409.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700K&id=5719
80,AMD EPYC 7532,53162,1959.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7532&id=4482
81,Intel Xeon Gold 6438N,52789,3351.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6438N&id=5666
82,Intel Core i9-13900F,52505,526.03,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900F&id=5143
83,Intel Xeon Gold 6348 @ 2.60GHz,52276,2126.33,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6348+%40+2.60GHz&id=4494
84,AMD Ryzen 9 7900X,52095,409.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900X&id=5027
85,Intel Xeon Gold 5412U,52092,1113.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5412U&id=5754
86,AMD EPYC 7552,51104,1778.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7552&id=3822
87,AMD Ryzen Threadripper PRO 7945WX,50835,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7945WX&id=5733
88,AMD Ryzen 9 7900X3D,50602,561.05,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900X3D&id=5240
89,AMD EPYC 7453,50575,1727.68,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7453&id=4663
90,AMD Ryzen Threadripper PRO 5955WX,50261,1099.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5955WX&id=4767
91,AMD EPYC 7413,50223,1997.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7413&id=4346
92,AMD EPYC 7502P,49887,1699.96,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7502P&id=3538
